generation biomass (MW),generation fossil brown coal/lignite (MW),generation fossil gas (MW),generation fossil hard coal (MW),generation fossil oil (MW),generation hydro run-of-river and poundage (MW),generation hydro water reservoir (MW),generation nuclear (MW),generation other (MW),generation other renewable (MW),generation solar (MW),generation waste (MW),generation wind onshore (MW),forecast solar day ahead (MW),forecast wind onshore day ahead (MW),total load forecast (MW),total load actual (MW),price day ahead (EUR/MWh),total production (MW),year,month,hour,price for the previous hour (EUR/MWh),day
377.0,725.0,6198.0,3799.0,334.0,427.0,1382.0,6832.0,55.0,92.0,109.0,307.0,3164.0,76.0,3171.0,25488.0,25505.0,52.52,23801.0,2017,9,6,55.39,19
424.0,0.0,3849.0,2971.0,350.0,1061.0,4284.0,6050.0,86.0,69.0,18.0,188.0,10137.0,2.0,9965.0,27706.0,27936.0,26.4,29487.0,2016,1,0,43.89,14
380.0,273.0,8363.0,5766.0,299.0,861.0,2553.0,6963.0,64.0,99.0,4674.0,314.0,2125.0,4740.0,2264.0,34632.0,34607.0,67.0,32734.0,2018,8,15,76.58,23
553.0,633.0,8477.0,7452.0,398.0,797.0,6133.0,5047.0,85.0,81.0,204.0,271.0,573.0,120.0,581.0,32961.0,33113.0,68.95,30704.0,2015,11,20,79.85,11
328.0,647.0,5598.0,5959.0,350.0,1271.0,3244.0,7100.0,59.0,103.0,35.0,329.0,11547.0,23.0,11577.0,38280.0,38338.0,63.45,36570.0,2018,1,20,69.79,16
351.0,300.0,4584.0,1545.0,302.0,1621.0,5291.0,5080.0,13.0,77.0,1796.0,222.0,8574.0,1991.0,8859.0,29098.0,29288.0,32.2,29756.0,2016,5,19,39.68,24
254.0,0.0,4713.0,1957.0,262.0,1741.0,7610.0,7061.0,54.0,81.0,446.0,262.0,3515.0,459.0,3756.0,30256.0,30013.0,35.19,27956.0,2016,4,8,37.87,29
440.0,0.0,4029.0,1760.0,257.0,1445.0,4149.0,6241.0,86.0,64.0,158.0,213.0,6816.0,110.0,6940.0,24115.0,23582.0,28.25,25658.0,2015,6,3,54.77,3
277.0,0.0,4338.0,1088.0,225.0,1082.0,1065.0,7083.0,53.0,90.0,18.0,245.0,11802.0,18.0,11789.0,26947.0,26479.0,41.92,27366.0,2018,2,7,57.62,1
543.0,201.0,5373.0,7064.0,291.0,655.0,1897.0,7088.0,88.0,68.0,26.0,237.0,3284.0,10.0,3280.0,27058.0,27169.0,63.29,26815.0,2015,12,23,73.83,20
